hostname,ipaddress,devtype,connport,conntype,sitename
MELS1R1,192.168.239.135,router,5006,telnet,MEL
SYDS2R1,192.168.239.135,router,5002,telnet,SYD
SYDS2S1,192.168.239.135,switch,5003,telnet,SYD
MELS1S1,192.168.239.135,switch,5004,telnet,MEL
PERS3S4,192.168.239.135,switch,5005,ssh,PER
